Resultats entre rondes  1  i  6 

Score = Mitja Pts * log(Rondes + 1) * %Victoria
És la millor manera que he trobat de comparar:
punts, nº de rondes i WinRate%


Pos   Nick del codi   Score      Mitja Pts  %Victoria  Games  || %T1     T1  | %T2     T2  | %T3     T3  | %T4     T4  | %T5     T5 
1     SescuBates      11320.33   5817.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
2     Capell2         9837.87    5055.67    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
3     Donosti         9711.06    4990.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
4     StrateGoat      8858.76    4552.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
5     CxxMaster4      8757.89    4500.67    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
6     Terminator99    8704.06    4473.00    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
7     noav5           8582.76    4410.67    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
8     Chongqing       8545.31    5309.50    100.00%    4      || 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
9     xTheSant        8534.11    4385.67    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
10    Player_v5       8531.84    4384.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
11    Albertito98     8443.95    4339.33    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
12    ErwinSmith_2    8387.52    4310.33    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
13    Cesar           8284.06    4257.17    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
14    SrBachs         8264.28    4247.00    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
15    Urza_V4         8225.36    4227.00    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
16    ff15v11_3       7918.88    4069.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
17    Maceta          7893.58    4056.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
18    Cletus          7846.88    4032.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
19    Thorfinn        7829.37    4023.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
20    BotBot          7818.67    4018.00    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
21    PotBot5         7608.51    3910.00    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
22    YasAI           7598.13    3904.67    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
23    UfOsun3         7565.05    3887.67    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
24    Brais_v14       7489.81    3849.00    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
25    LogV2           7459.65    3833.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
26    ImPurplev2      7388.18    4429.57    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
27    LaRosalia       7359.11    4107.20    100.00%    5      || 100.00% 5   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
28    PinkHeist01     7239.43    3720.33    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
